Category,Resume_Details,experience_years,skills
Peoplesoft,years maintenance upgrade peoplesoft ibm currently peoplesoft implementation accenture exposure finance module hcm module technical hands versions peoplesoft hrms versions technical aspects peoplesoft objects field record page component file layout engine publisher form etc sqrs engine publisher query hands_on generic event peoplesoft job iws basic idea control schedule monitor jobs basic idea jira phire tool technical peoplesoft erp hrms systems windows versions mac language python beginner peoplecode sqr oracle sql developer app designer tectia servicenow winscp iws control databases oracle sql sqr query publisher industries hcm finance soft eager adopt new communication presentation english hindi bengali analytical problems player adopt hazardous situations educational qualifications job history achievements got acknowledgement excellent within got yearly cob activity got manager choice award times got ibmer appreciation eminence excellence award ibm star award ibm star award accenture recipient central sector scheme scholarship year recipient ambedkar medha puraskar extra curriculars name pritam biswas present location pune degree institution stream percentage cgpa year national institute durgapur electrical higher secondary burdwan municipal high school pure science includes computer science secondary burdwan municipal high school subjects ibm india pvt ltd accenture india employer ibm india citigroup finance peoplesoft production maintenance tenure provide technical provide analysis peoplesoft issue level crc etl apss citigl cbsi frs directly issue comes host meetings update manage status issues create calendar autosys jobs batch files run production checkouts make daily weekly analyze solve problem tickets incidents handle servicenow tool create modify incident tickets change requests full ndm certificate update ndm got successful signoff dsmt load activity checkout cob test activity checkout jobs failures monitor app designer sql developer tectia attend meetings update behalf employer ibm india axa insurance uprade peoplesoft hcm upgrade tenure axa upgrade developer peoplesoft version steps peoplesoft upgrade different objects bolt_on peoplesoft objects peoplesoft objects make reconciliation intermediate sqr analysis query pages records components menus etc batch intermediate phase purpose employer ibm india axa insurance peoplesoft hcm enhancement tenure basic enhancement query sqr sqr job job peoplesoft iws give technical employer accenture palm peoplesoft finance implementation tenure currently interfaces workflow form query publisher scratch app engine app package component interface multi_level page xml request production release tickets within timeline mentor associate developers supervise tasks,4.1 years,"['app engine', 'application engine', 'c', 'component interface', 'db2', 'file layout', 'jira', 'oracle', 'peoplecode', 'peoplesoft hrms', 'ps query', 'python', 'service now', 'sql', 'sql developer', 'sqr', 'windows', 'winscp', 'xml']"
Peoplesoft,rahul ahuja peoplesoft technical consultant customization peoplesoft peoplesoft in_depth peopletools designer peoplecode engine package security file layout xml publisher mover broker workflow notification awe extensively engine peoplecdoe file layout package awe env refresh upgrade activities implementation fair peoplesoft query component interface excellent methodology self person strong problem analytical better methodologies techniques ability write documents clearly concisely goal ability within tight deadlines possess excellent effective communication possess strong interpersonal leadership technical erp peoplesoft financials designer security engine package scheduler code workflow notification file layout mover xml publisher broker sqr component interface workflow notifications awe sqr query databases oracle systems windows peoplesoft technical lead lead wipro pune senior peoplesoft technical consultant rotary international infotech pvt ltd pune software engineer hsbc glt hyderabad peoplesoft technical consultant educational qualifications bachelor nagpur financial transformation platform ftp uit production hsbc fscm database oracle platform windows member size duration description hsbc top_class facilities deep industry functional expertise practices global delivery model enable companies achieve goals transformation ftp vast modules ledger purpose hsbc ftp involves module reference rules maintenance facility rmf rules maintenances rtm reference maintenance facility rdmf components pages engine sqrs per change requests customize components sqr engines change requests make test material plan validate modification code code drops migration mover scripts via ssh sit uat cycles module per requirements schedules defects member defect prevention control quality centre systems issues problems improvements present options resolution peoplesoft improvement proposals bips uit production rotary headquarter evanston international offices fscm database oracle platform windows member size duration description rotary international international purpose together leaders order provide humanitarian encourage high ethical standards vocations advance goodwill peace around world non_political non_sectarian open regardless race color religion gender political preference part rotary international infotech private operations globe components pages engine etc per requirements customize components engines change requests make test material plan validate modification code code migration deployments migration mover qat per requirements schedules defects member defect preventionteam systems issues problems improvements present options resolution refresh activities grants centre uit production rotary headquarter evanston international offices fscm database oracle platform windows member size duration till description rotary international international purpose together leaders order provide humanitarian encourage high ethical standards vocations advance goodwill peace around world non_political non_sectarian open regardless race color religion gender political preference part rotary international infotech private operations globe broker third party make test material plan validate modification code code migration deployments qat uat refresh activities per requirements schedules defects member defect prevention systems issues problems improvements present options resolution financial fams uit production rotary headquarter evanston international offices fscm database oracle platform windows lead peoplesoft developer size duration description rotary international international purpose together leaders order provide humanitarian encourage high ethical standards vocations advance goodwill peace around world non_political non_sectarian open regardless race color religion gender political preference part rotary international infotech private operations globe components pages engine etc per requirements customize components engines change requests make test material plan validate modification code code migration deployments migration mover qat per requirements schedules defects member defect prevention systems issues problems improvements present options resolution refresh activities peoplesoft global book gbm unit deployment credit suisse india pvt ltd fscm database oracle description peoplesoft gbm provides front_end gui allow create maintain book department static well hierarchy roll_ups specific trees workflow mechanism automatically routes request approval channels rules holds mappings book gbm transaction systems gbm primary use gbm serve golden source books attributes originates gbm across globally components pages engines approval workflows etc per requirements customize components engines change requests make test material plan validate modification code code migration deployments sit uat per requirements schedules defects member quality leads systems issues problems improvements present options resolution lead activities resource appraisal discussion estimations etc,10.2 years,"['application designer', 'application engine', 'application package', 'component interface', 'data mover', 'db2', 'file layout', 'integration broker', 'oracle', 'oracle 11g', 'oracle 12c', 'peoplecode', 'peopletools', 'process scheduler', 'ps query', 'sqr', 'web services', 'windows', 'xml']"
Peoplesoft,peoplesoft enhancement implementation conversion upgrade functional hcm fscm bachelor b_tech jntu_k currently soft consultant randstad hyderabad peoplesoft consultant randstad hyderabad andhra pradesh randstad enhancements randstad analyze requirement documents understand requirement provide technical approach fdd assign customize many objects scratch write code implement logic engine programs engine programs send notifications prepare unit test cases technical documents sit uat designer engine code component interface packages peoplesoft hcm oracle windows technical associate verizon hyderabad pradesh may_2020 verizon wireless verizon analyze requirement documents understand requirement provide technical approach fdd assign customize many objects scratch write code implement logic engine programs engine programs send notifications component interface program load soft file layout inbound programs prepare unit test cases technical documents sit uat designer engine code component interface packages peoplesoft fscm oracle windows software engineer hsbc hyderabad india hsbc upgrade hsbc bank analysis understand source target compare objects source targets identify changes retrofit objects compare unit prepare unit test cases retrofit new modifications technical documents retrofit enhancement add new text catalogues languages quality procedures move objects sit designer engine code peoplesoft hcm windows unix designer engine code packages peoplesoft fscm hcm fscm modules procurement hcm modules performance waf benefits interfaces component interface file layout languages c++ database oracle sql windows unix relevant,4.6 years,"['application designer', 'application engine', 'c', 'component interface', 'db2', 'file layout', 'oracle', 'peoplesoft fscm', 'sql', 'unix', 'windows']"
Peoplesoft,peoplesoft enhancement upgrade functional hcm fscm master computer vinayaka missions chennai tamilnadu 3year program senior consultant randstad hyderabad andhra pradesh randstad enhancements randstad analyze requirement documents understand requirement provide technical approach fdd assign customize many objects scratch write code implement logic engine programs engine programs send notifications prepare unit test cases technical documents sit uat designer engine code component interface packages peoplesoft hcm oracle windows technical associate verizon hyderabad pradesh may_2020 verizon wireless verizon analyze requirement documents understand requirement provide technical approach fdd assign customize many objects scratch write code implement logic engine programs engine programs send notifications component interface program load soft file layout inbound programs prepare unit test cases technical documents sit uat designer engine code component interface packages peoplesoft fscm oracle windows senior software engineer hsbc hyderabad india hsbc upgrade hsbc bank analysis understand source target compare objects source targets identify changes retrofit objects compare unit prepare unit test cases retrofit new modifications technical documents retrofit enhancement add new text catalogues languages quality procedures move objects sit designer engine code peoplesoft hcm windows unix designer engine code packages peoplesoft fscm hcm fscm modules procurement hcm modules performance waf benefits interfaces component interface file layout languages c++ database oracle sql windows unix relevant,4.6 years,"['application designer', 'application engine', 'c', 'component interface', 'db2', 'file layout', 'oracle', 'peoplesoft fscm', 'sql', 'unix', 'windows']"
Peoplesoft,peoplesoft executive overall financial supply chain include modification peoplesoft fscm modules functional inventory sound account payable sound peoplesoft security technical query basic peoplesoft security designer peoplecode sql oracle sql developer database oracle module accounts payables accounts aptara developer crystal designer designer tool page contains run control record page add component register component pia pure internet architecture permission list help permission list separate access page run crystal output visible monitor queries help main sub crystal crystal tool queries formula total get output module admin developer requirement requisition purpose create new origin admin requisition raise origin admin purpose get requisition approval flow admin origin admin add origin route control help route control approver ids get done defects closure defects verification status meetings peoplesoft per requirement origin route control roles requisition requisition purchase order receipt inventory issue specialist etc per requirement resolve bug invoice get etc journal error issues might combo error amount difference open period error line error oracle peoplesoft finance modules resource fscm inventory sound account payable sound peoplesoft security technical primary query designer field record page component menu sql secondary peoplecode oracle sql developer database oracle electrical electronics indus biju patnaik orissa vitae languages english hindi odia gender male declaration hereby declare given true correct belief priyabrata hota priyabrata hota,3.6 years,"['application designer', 'oracle', 'peoplecode', 'peoplesoft fscm', 'peoplesoft security', 'pia', 'ps query', 'sql', 'sql developer']"
Peoplesoft,peoplesoft technical consultant peoplesoft consultant peoplesoft fscm technical maintenance customization peoplesoft fscm proficient creation types definitions implement validations requirement components pages records definitions functional modules e_procurement payables modules exposure peopletools designer engine code file layout component interface scheduler proficient creation query xml publisher implementation interface component interface posses effective communication problem peoplesoft consultant virtusa till optimum solutions pvt ltd educational computers mba jantuk technical set languages code erp peoplesoft fscm app designer code engine file layout query xml publisher citi fscm duration peoplesoft technical consultant peoplesoft fscm description involves maintenance peoplesoft fscm modules e_procurement purchase order account payable etc customizations enhancements product activities incidents on_site clarify requirements many scratch records pages designer fulfill requirements code implement validation queries part requirements enhancement create interface load positive pay build enhancement create run control pages glbus replace inactive glbus glbus done customizations app engine ap_apy2015 create payments vouchers,3.2 years,"['app engine', 'application designer', 'application engine', 'ci', 'component interface', 'file layout', 'peoplesoft fscm', 'peopletools', 'process scheduler', 'ps query', 'xml']"
Peoplesoft,tanna sujatha area utilize functional provide best solutions functional expertise peoplesoft finance modules purchase account payables ps_query end_end functional modules change requests synopsis energetic result expertise peoplesoft financials area maintenance production deep focus solutions presently engineer excellent positive approach highly ambitious achieve goals well organizational goals ability build new territories expand opportunities towards achievement targets btech kaushik visakhapatnam academic percentage puc narayana junior visakhapatnam academic percentage high school burja academic percentage software proficiency peoplesoft functional purchase account payables vendor databases oracle sql developer query history datum designation engineer present name datum peoplesoft fscm maintenance datum engineer duration present size 6members description maintenance production batch maintenance involves tickets needs customization setup enhancements peoplesoft objects production involves batch jobs roles batch jobs job failures time unit documentation per organizational requirement documentation flow per requirement interactions requirement change uats etc requests languages english telugu gender female marital status present address pocharam hyderabad hereby declare true best sujatha tanna,3.6 years,"['c', 'oracle', 'peoplesoft fscm', 'ps query', 'sql', 'sql developer']"
Peoplesoft,address manyata tech park nagavara bangalore linin peoplesoft finance fscm ariba java full stack sql power new hybrid species time deliverables leadership qualities sri subha santosh kumar josyula assistance ariba peoplesoft finance successfully patch upgrade refuse validations main point contact non regression acceptance find solutions makes satisfaction associate consultant capgemini axa till modules accounts payable accounts receivable general ledger expenses self uss security along designer sql account purposes positive survey results code activities successfully jobs collectively maintain sla many java scripts make changes per requirement bachelor electronics communication vishnu institute jntuk average basic power desktop manager coursera agile software star award capgemini best award peoplesoft finance oca_8 java developer microsoft office specialist japanese language basic certification,3.2 years,"['application designer', 'c', 'java', 'sql']"
SQL Developer,anil kumar maddukuri sql msbi developer ssms ssis packages ssrs microsoft intelligence msbi expertise types joins sub queries complex queries multiple manipulation consistency views triggers synonyms hands creation optimization procedure functions familiar queries cte temporary variables set operators union union except intersect assist manipulate multiple aggregate functions windows functions functions extensively extraction transformation etl sql containers loop container sequence container load multiple source file database expertise tasks flow task execute sql task control flow task execute package task execute task bulk insert task sends mail task ftp task script task control flow level conversion oledb command row count union column merge merge join fuzzy lookup conditional split transformation manipulate ssis package flow level typical source destination ssis loggings check_points break points package configurations source source etl operations sub matrix drill drill sql cache snapshot manager level expertise backup restore database indexes index index improve performance technical languages sql t_sql rdbms sql etl sql ssis sql ssrs currently software engineer imagine pvt ltd health insurance aetna usa sql ssis ssrs visual studio duration till description aetna insurance health care sells traditional consumer health care insurance medical dental long_term care disability plans primarily employer_paid fully partly insurance benefit programs main goal database mechanism revert database create update indexes views procedures functions common expressions ctes triggers develop ssis packages sources excel csv flat file text load area use transformations merge join multicast slowly dimension manipulate flow level implement event handlers packages maintain log provide checkpoints level packages control flow levels tasks flow task execute sql task ftp tasks loop container sequential container generate form matrix ssrs sql database features drilldown drill sub sql agent jobs periodic backups backup devices database maintenance plans recovery database agent jobs check failures resolve failure issues sql profiler query wizard troubleshoot problems queries velagapudi siddhartha,2.4 years,"['sql', 'windows']"
SQL Developer,aradhana tripathi current location gachibowli hyderabad driven analytical industry currently sql database developer database analysis sql mysql mariadb athena aws production environments extensive complex queries views union triggers procedures functions udf functions sql statements constraints indexes ddl dml commands sub_queries joins simplify complex queries multiple amazon relational database aws rds basic analytical sas bigdata hadoop hive hql query etc requirement stakeholder account insights visualization dashboard tableau excel technical languages sql sas python dbms sql t_sql aws rds athena mariadb version mysql ide sql studio ssms heidisql rstudio visualization tableau excel domain media publication bfsi retail employment history currently nast sql database developer jigyasa analytics llc since tech mahindra associate tech group consultant migration sas regression models athena aws conde nast sql developer description migration logistic regression models sas athena aws new code athena aws purpose take advantage aws cloud features cost optimization scalability high availability roles sql code models sql code models mysql mariadb final implementation model production athena aws reusable code automate model query push model validation technical platform sql mysql heidisql razorsql sas athena aws excel etc retail sales portal one retail sql developer description online ecommerce comprises country came source traffic channel transactions number purchases made particular product frequency visits given total sales gross profit net profit made certain period time discount offers analysis subsequently helps decision roles functionality database database normalize constraints functions develop complex sql queries views triggers procedures quality integrity technical platform sql academic iiit bangalore human resource database systems description human resource database creates stores manages describe framework within includes definition levels hierarchy salary structure element hierarchy description department overall employee database integrates elements roles database effective effective retrieval maintenance features database security technical platform sql excel tableau credx risk analytics description help credx identify right predictive models past bank applicants determine factors credit risk create strategies mitigate acquisition risk roles preparation predictive models logistic regression random forest decision tree etc deploy best model technical platform rstudio sql excel etc academic qualification post graduate diploma science iiit cgpa mca computer sciences aks,4 years,"['aws', 'mysql', 'python', 's3', 'sql', 'sql developer']"
SQL Developer,buddha vamsi years database engineer currently fluentgrid visakhapatnam database engineer hands sql plsql databases oracle sql expertise views procedures functions indexes triggers temporary cte recursive methods expertise transformations etl intelligence pentaho kettle academic technical achievements awards workshop siimad symbyosis innovation intelligene moblie miracle international workshop sse security software diet international workshop bitd intelligence test driven cyber forensics workshop nit warangal ethical cybercure solutions workshop cloud diet achieve ibm bluemix certificate cloud app cloud actively diet_nss unit name buddha vamsi father name raju mother name lakshmi dob sex male marital status single languages known english telugu hobbies cricket declaration hereby declare true best ms_sql sql_oracle developer fluentgrid visakhapatnam database architecture ndmc kesco uppcl ugvcl bosch smart electricity power utility flow diagrams structure diagrams database sql_oracle extract transform load procedures packages database implementation activities create etl jobs jobs sql_oracle developer fluentgrid visakhapatnam database architecture ndmc kesco uppcl ugvcl bosch smart electricity power utility flow diagrams structure diagrams database sql_oracle extract transform load procedures packages database implementation activities create etl jobs jobs course name school board percentage cgpa year cse dadi institute jntuk intermediate sri chaitanya junior board intermediate ssc cambridge model high school state board secondary database sybase ase ms_sql ms_sql oracle devops sql_oracle pentaho etl windows linux centos ubuntu vmware workstation tool putty solo dell sonic global vpn spoon ftp winscp hadoop eco_system pig hive sqoop hbase impla scala java html css bootstrap c_language,2.11 years,"['bootstrap', 'c', 'css', 'html', 'java', 'linux', 'oracle', 'pl/sql', 'sql', 'winscp']"
SQL Developer,kamballa pradeep synopsis forward aspire technical hardly towards growth software areas microsoft sql proficient relational database systems rdbms expertise transact_sql ddl dml dcl database logic triggers indexes views procedures extensive advance query concepts group clause union sql studio sql ssis indexes keep sql performance ability learn grasp new domain excellent analytical communication interpersonal proficient technical presentations player sql ssis packages queries indexes views extensive sql t_sql procedures triggers variables functions views indexes cte temp relational database models sri venkateshwara tirupathi currently software coginic pvt ltd jun_2018 hyderabad technical languages sql t_sql ssis sql sql sever systems windows dbms sql olap sql analysis etl sql sql builder name capital finance name finance t_sql sql sql ssis sql developer description precise built precise record wells fargo capital finance modular houses suite compliance module document field exam participants trends terms comments enterprise ems record access distribution wells fargo capital finance wfcf members capture employee functional member job division contact levels access emergency contact central repository ireports provides view wells fargo capital finance ireports tier access layer layer angularjs mainly layout access layer communicate respective database use implement dal layer ssrs viewer control fetch respective ssrs requirements many packages etl logic tasks transformations written many queries many performance improvements across packages different source systems ssis unit packages security roles adhoc queries migration purpose procedures functions database triggers indexes optimizations types drill drill sub migration queries requirement issues dynamic sql queries results activities enhancements code requirements,2.8 years,"['sql', 'sql developer', 'windows']"
SQL Developer,hyderabad nazeer basha sql power developer sql power ambitious individual broad sql power furthermore adept multiple tasks basis competently well pressure key strength communication strong relationships order deliver best results extensively model new columns measures dax expressions proficient complex dashboards filters slicers drill drill power desktop cloud sources power multiple datasets row level security roles groups content packs power sql t_sql database expert power necessary connection power gateways keep dashboards dashboards organizational content packs apps workspace made power dashboards available mobile apps transform requirements technical specifications kpi per stakeholder demand hands t_sql queries complex procedures functions udf database triggers database objects temporary variables indexes functions views joins set operators cte sub queries constraints identity property views indexes sql power developer pride pune maharastra understand requirements context models transform raw meaningful insights create dashboards interactive visual power identify key performance indicators kpis clear consistently monitor present aid convert requirements technical specifications decide timeline accomplish chart creation documentation algorithms parameters models relations develop test deploy power scripts perform analytics perform dax queries functions power analyze current etl define new systems redefine make technical strategic changes enhance intelligence systems create customize charts calculations per requirements develop deploy intelligence solutions per needs sql best results use filters graphs better members level performance improvement suggestions retail sales analysis retail ltd duration sql power desktop power dax description retail ltd retail chain discount stores stores products include health beauty household textiles house wares electrical home decor generate types best employee best best product sold best promotion etc requirement product technical specification understand requirement document procedures joins sub queries functions views retrieve per requirement database sql queries sources excel flat files csv files sql weekly basis per requirements matrix tabular drill drill kpi power power visualization cross tabs maps scatter plots pie bar density charts power dashboards multiple sources dashboards across country level roles restrict specific region power builder power online roles security specific specific locations written simple dax calculation per requirement maintain measures transfer documentation power builder power online roles security specific specific locations woolworths enterprise woolworths power desktop sql power description woolworths biggest retailer deals food items accessories warehouse cubes morethan relational databases cube relational major taskis understand requirement replicate power entirelydifferent many challenges achieve power builder power online roles security specific specific locations written simple dax calculation per requirement maintain measures transfer documentation power builder power online roles security specific specific locations transfer documentation power visualization cross tabs maps scatter plots pie bar density charts power dashboards multiple sources excel power desktop get option roles dashboards dashboards power power portal page access individual roles dashboards across country level roles restrict specific region sql queries ddl dml operations functions procedures joins sub queries functions views jawaharlal nehru technological hyderabad telangana tech electronics communications,2.6+ years,"['row level security', 'sql']"
SQL Developer,resume name neeraj mishra oracle developer oracle sql sql creation indexes sql sql extensively backend sql procedures functions packages triggers exception expertise oracle views joins sql queries requirements securities roles privileges grants recursive query techniques pseudo column implementations set operators transaction control views extensively ddl dml tcl statements ability willingness learn new acclimatize culture able adapt quickly shifts rgpv bhopal oracle developer tech solution pvt ltd till oracle languages sql sql unix technical oracle sql sql sql developer crm sql loader oracle window name bolt back office legacy transition sql sql oracle tool sql plsql developer crm sql loader sql plsql developer oracle windows size duration description bolt back office legacy transition orders order entry systems bolt heart back_office prime offers transaction revenue recognition transaction records several systems come bolt get bolt sends feeds several systems quantum etc roles complex sql queries plsql code implement requirements perform dml ddl operations per requirements backend code add new columns constraints sequences indexes per requirements production issues backend codes procedures functions trigger views database throw help sql loader joins sub_queries sub_queries analysis change request requests back end implementation changes interaction name m_one sql sql oracle tool sql plsql developer crm sql loader sql plsql developer oracle windows size duration description m_one exclusively mot produce website designs products internet offer complete graphic website maintenance solutions types online requests etc consists admin module module deals maintenance mot provides module database roles requirements implement analysis problem statement requirement production incidents change requirements extensively procedures functions views views triggers indexes etc fulfill requirements sql loader load different dba database performance enhancement current functionality improve performance hereby declare true correct best mishra bangalore qualification declaration,3 years,"['oracle', 'oracle 11g', 'pl/sql', 'sql', 'sql developer', 'unix', 'windows']"
SQL Developer,sql developer name bandi prem sai exposure new t_sql area sql enterprise portal ample scope organizational growth well individual growth microsoft sql thorough sql databases expertise t_sql queries procedures functions triggers hands error performance procedure temporary variable cte common expressions sub_queries simplify complex queries multiple expertise database objects indexes functions views udf constraints functions functions functions aggregate functions transactions isolation level concurrency problems relationship constraints jobs automate sql agent new features sri venkateswara tirupathi techasoft pvt ltd software engineer bangalore oct_2018 name haematology solutions name bravo pharma domain health care duration sql developer description bravo pharma cares protection enhancement human health levels spectrum activities ranges life sciences start_ups health novel solutions diagnostics treatment production sales pharmaceuticals database structures procedures views functions t_sql queries procedures create sql indexes query optimization performance query plans sure query appropriate useful indexes create sql indexes query optimization performance query plans sure query appropriate useful indexes constraints mainly primary key foreign key name simple commerce solution name codi domain commerce duration sql developer description simple commerce solution ecommerce sell products laptop printers etc online simple commerce solution built high end many upstream downstream systems handle full fill needs simple commerce solution around countries provides easy way find buy products database structures procedures views functions t_sql queries procedures create sql indexes query optimization performance query plans sure query appropriate useful indexes create sql indexes query optimization performance query plans sure query appropriate useful indexes constraints mainly primary key foreign key technical relational databases sql packages ssms languages sql t_sql windows packages ms_outlook microsoft office suite,2.6 years,"['c', 'sql', 'sql developer', 'windows']"
SQL Developer,sql developer priyanka total microsoft sql ssis key highlights strong commands ddl dml dcl tcl operators strong sql joins set operators constraints functions functions aggregate functions rank functions extensive sql subqueries common expressions cte recursive cte temp variables views proper convention t_sql functions sql triggers triggers instead triggers tcl error indexes performance loops dynamic sql database store file database sql import export wizard slowly dimensions scd scd packages transformations lookup column conditional split sort conversion union merge join scd merge multicast copy column load sql destination technical systems windows databases sql etl ssis currently software engineer perigon pvt ltd qualification tech new horizon bangalore health care cedars sinai sql developer description cedars maintains patient modules registration outpatient inpatient modules etc cedars caters primarily medical visionary doctors pharmacy physiotherapy paramedical health major offerings healthcare medical micro job journals research publication consultation assistance part lives quality medical diseases activities written procedures functions views views multiple database variables inside functions procedures written cte sub queries proper sql joins different conditions order meet requirements dataflow tasks lookup merge join union execute sql bulk insert loop container column conditional split conversion sort merge multicast scd_i sql visual studio excel declaration hereby declare written particulars true best belief hyderabad priyanka,2.5 years,"['sql', 'sql developer', 'windows']"
SQL Developer,sql developer syam kumar industry etl ssis objects constraints views sql joins set operators multiple functions functions functions aggregate functions rank functions meet requirement sql subqueries common expressions cte temp variable proper convention t_sql concepts procedures functions loops cursors triggers tcl error magic indexes performance flow transformations look sort conversion union_all scd bases backups restores synonyms extraction transformation etl sql tool different kinds sources destinations packages control flow extract source different transformations technical databases sql ide visual studio ssms office suite excel word notepad etl tool sql ssis currently software engineer volaris group_tarantula india pvt ltd educational qualification tirupathi atc american tower sql developer size duration description atc publicly held owner operator wireless broadcast communication infrastructure several countries built saas proposition acts medium towerco manage mobile towers solution comprises innovative software completely windows authentication new enhancements change request requirements managers leads functionality production releases database impact analysis requirement effort discussions effort preparations new requirement create views complex procedures functions sql jobs per requirement run purpose sources flat file csv file excel file deployment environments test uat live activities participate discussions creation understand requirements provide back_end functionality declaration hereby declare facts true correct best belief syam kumar,2.3+ years,"['c', 'ms office', 'sql', 'sql developer', 'windows']"
SQL Developer,raju pavana kumari years database objects procedures functions views indexes joins facilitate efficient manipulation consistency complex queries sub_queries set operators joins proficient temporary objects cte temporary variable sql query indexes keep sql performance currently software developer square bridge pvt ltd bangalore academic electronics communication ece jntu hyderabad intermediate narayana junior hyderabad ssc secondary school vardhana school hyderabad technical microsoft sql languages mysql systems windows windows windows healthcare aetna duration feb_2020 till sql developer description aetna health care sells traditional consumer health care insurance plans medical pharmaceutical dental behavioral health long_term care disability plans primarily employer_paid fully partly insurance benefit programs medicare physical models ddl scripts create database schema database objects wrote requirement documents functional specification new written procedures triggers developers functions sql scripts source target specifications transformation functions views triggers automation extensively joins sub_queries simplify complex queries multiple procedures triggers production disaster recovery procedures policies backup recovery performance sql sql profiler workers compensation stone wood insurance duration sep_2018 feb_2020 software developer description worker compensation form insurance wage replacement medical benefits employees course employment exchange mandatory relinquishment employee right sue employer tort negligence trade_off coverage lack recourse outside worker compensation known compensation bargain problems compensation bargain problem employers insolvent result high damage awards sql procedures sql queries indexes execution plan functions views triggers maintain referential integrity procedures changes preferences ad_hoc requests distribution tasks declaration hereby declare true would happy provide additional hyderabad pavana kumari,2.10 years,"['c', 'mysql', 'sql', 'sql developer', 'windows']"
SQL Developer,resume ramalakshmi pursue software developer industry position utilizes field contribute enhances year microsoft sqlserver microsoft aws_redshift result_driven developer proven track record intelligence warehouse dwh analytics proven ability identify needs develop valuable solutions drive accuracy efficiency exposure sql studio microsoft visual studio intelligence studio sql profiler ssis wrote scripts strategy migration confidential redshift sql mysql databases hands_on packages ssis different kind flow transformations control flow tasks complex sql queries joins database database files databases technical languages python sql libraries numpy pandas matplotlib rdbms sql mysql teradata etl tool ssis cloud platform aws redshift educational qualifications employer bixware etl cube software developer period description retail retail store brand earlier known aditya birla retail part aditya birla group retail mrl retail formley aditya birla group billion corporation food grocery retail sectors subsequently presence across country brand formats supermarkets hypermarkets currently hypermarkets brands offer delivers unbeatable value quality fourth largest supermarket hypermaket chain country future group head office stores maintains supermarkets hypermarkets stores largest warehouse provides marts sales cube provide sales efficiently inventory cube provide inventory hand low stock office connection odc etl solutions operational etl validation sql jobs per basis sales inventory databases updation procedures t_sql join address operations random requests plan develop maintain deploy replace alter enhance sales inventory cube metrics systems aws etl jobs extract load mart redshift father name narasimha rao gender female languages known telugu hindi english permanent address tipparajuvari street vrc center nellore declaration hereby declare true correct best belief mumbai ramalakshmi degree institute percentage high school board secondary maths physics chemistry chandra reddy junior nellore bachelor computer science brahmaiah nellore,2.5 years,"['aws', 'mysql', 'python', 'sql']"
SQL Developer,name ramesh contribute provides opportunity showcase technical helps gain domain years microsoft sql extensive joins set operators temporary variables cte sub_queries extensive views indexes synonyms functions cursors procedures etl extraction bids intelligence studio ssdt sql ssis sql bulk insert bcp bulk copy program sql ssis packages control flow tasks flow task loop container loop container different transformations conversion conditional split merge merge join union column multi_cast scd fuzzy lookup etc error event handler checkpoints ssis packages different types bulk insert task execute sql task ftp task send mail tasks ssis packages types matrix sub_reports image etc multiple ssrs sql database oltp features group_by drill_down drill_through builder cache ssis packages ssrs update per logic sql agent windows scheduler sql profiler performance query new features versions sql excellent creation microsoft ssrs learn new things hard excellent communication ability deal different interpersonal analytical highly player ability independently master computer technical systems windows unix database sql studio ssms languages sql t_sql etl sql ssis sql ssrs databases sql currently sql developer tietoevryindia bangalore till t_mobile t_mobile duration april_2020 year months sql ssis ssrs sql msbi developer abstract e_commerce consists main modules admin module module inside module multiple components cart orders payment etc module component category sub_category products etc excellent creation microsoft sql ssrs sql requirements sql ssrs complex procedures views temporary per requirement wrote complex sql queries joins sub queries sub queries retrieve different sql databases excel files apply logic load create view end ddl scripts create database schema database objects procedures views functions triggers sql create indexes trace indexes determine type index complex involve number groupings multi_value parameters claim statements fee bills transactions end request periodic basis technical guidance end_users documentations complex ssis packages proper control flow elements extensively ssis package designs import export source flat file excel sql vice versa schedule jobs transformations slowly dimension multicast merge join lookup fuzzy lookup conditional split aggregate column conversion transformations matrix drill drill sub multi ssrs pdf formats per requirement batch monthly statements ssis packages jobs sales flash british gas duration may_2018 feb_2020 associate software engineer abstract british gas energy home provider name british gas british gas new subsidiaries centrica homes british gas biggest energy supplier dominate gas electricity market kingdom sql installation sql sql setup program installation sql create database objects views procedures triggers etc triggers complex conditions security check constraints maintain integrity procedures functions efficient storage manipulation complete back_up database database disaster recovery create indexes trace indexes determine type index,3.5 years,"['sql', 'sql developer', 'unix', 'windows']"
